u:, s:, b:, B:, a:, A:
49708240104, BTCUSDT, 59276.06000000, 0.59745000, 59276.07000000, 4.51897000
49708240109, BTCUSDT, 59276.06000000, 0.94899000, 59276.07000000, 4.51897000
49708240120, BTCUSDT, 59276.06000000, 1.39814000, 59276.07000000, 4.51897000
49708240121, BTCUSDT, 59276.06000000, 1.39814000, 59276.07000000, 4.58479000
49708240122, BTCUSDT, 59276.06000000, 1.39814000, 59276.07000000, 4.51897000
49708240123, BTCUSDT, 59276.06000000, 1.40294000, 59276.07000000, 4.51897000
49708240124, BTCUSDT, 59276.06000000, 1.40294000, 59276.07000000, 4.58479000
49708240125, BTCUSDT, 59276.06000000, 1.46576000, 59276.07000000, 4.58479000
49708240148, BTCUSDT, 59276.06000000, 1.48264000, 59276.07000000, 4.58479000
49708240151, BTCUSDT, 59276.06000000, 2.09523000, 59276.07000000, 4.58479000
49708240153, BTCUSDT, 59276.06000000, 2.09523000, 59276.07000000, 4.27831000
49708240159, BTCUSDT, 59276.06000000, 2.09523000, 59276.07000000, 2.72412000
49708240164, BTCUSDT, 59276.06000000, 2.09523000, 59276.07000000, 2.61412000
49708240168, BTCUSDT, 59276.06000000, 2.20523000, 59276.07000000, 2.61412000
49708240169, BTCUSDT, 59276.06000000, 2.33942000, 59276.07000000, 2.61412000
49708240171, BTCUSDT, 59276.06000000, 2.33942000, 59276.07000000, 2.01412000
49708240172, BTCUSDT, 59276.06000000, 2.33942000, 59276.07000000, 1.94830000
49708240173, BTCUSDT, 59276.06000000, 2.33942000, 59276.07000000, 1.98058000
49708240175, BTCUSDT, 59276.06000000, 2.33942000, 59276.07000000, 2.04841000
49708240177, BTCUSDT, 59276.06000000, 2.33942000, 59276.07000000, 2.11423000
49708240178, BTCUSDT, 59276.06000000, 2.33942000, 59276.07000000, 2.46576000
49708240180, BTCUSDT, 59276.06000000, 2.33942000, 59276.07000000, 2.39994000
49708240182, BTCUSDT, 59276.06000000, 2.33942000, 59276.07000000, 2.04841000
49708240183, BTCUSDT, 59276.06000000, 2.33942000, 59276.07000000, 1.98058000
49708240184, BTCUSDT, 59276.06000000, 2.33942000, 59276.07000000, 1.94830000
49708240185, BTCUSDT, 59276.06000000, 3.24480000, 59276.07000000, 1.94830000
49708240190, BTCUSDT, 59276.06000000, 3.32817000, 59276.07000000, 1.94830000
49708240194, BTCUSDT, 59276.06000000, 3.32817000, 59276.07000000, 1.79713000
49708240199, BTCUSDT, 59276.06000000, 3.32817000, 59276.07000000, 1.39713000
49708240205, BTCUSDT, 59276.06000000, 3.32817000, 59276.07000000, 0.93226000
49708240206, BTCUSDT, 59276.06000000, 3.63465000, 59276.07000000, 0.93226000
49708240209, BTCUSDT, 59276.06000000, 3.65127000, 59276.07000000, 0.93226000
49708240213, BTCUSDT, 59276.06000000, 3.56790000, 59276.07000000, 0.93226000
49708240214, BTCUSDT, 59276.06000000, 3.56790000, 59276.07000000, 0.93186000
49708240215, BTCUSDT, 59276.06000000, 3.56790000, 59276.07000000, 1.24662000
49708240220, BTCUSDT, 59276.06000000, 3.56790000, 59276.07000000, 1.24622000
